0,2020-10-12 03:48:35,1220170588267958272,TedMazerDS,1315499580344197121,@GadSaad @JoeBiden Most of the country simply sees Biden as a “not Trump” vote. This election is basically trump ru… https://t.co/Xf16hWoQ5M
1,2020-10-12 03:48:35,587957065,Stop the Insanity,1315499579400425477,@Blue_Texas2020 @BryanRobinAR Bush won’t endorse Biden. Trump endorsed Jeb’s son for TX land commissioner and he wo… https://t.co/3tKd114KyZ
2,2020-10-12 03:48:35,763481578689425409,funny gal,1315499579027206149,"RT @JYSexton: It’s kind of amazing to watch people hound Biden over Court packing, a completely legal thing the system allows, while Trump…"
3,2020-10-12 03:48:34,874258472,Jonathan Greenberg,1315499576082661381,"@JimCarrey Why the Barrett confirm rush?
 
Hear Trump announce his plan to steal vote count with newly packed Supre… https://t.co/wcazsPDSSi"
4,2020-10-12 03:48:34,1293187865820540928,conservative_Q,1315499575587860480,@DavidJHarrisJr You know it’s extremely hard to believe these polls when you see so much hacking for Trump at his g… https://t.co/96mO83rhHg
5,2020-10-12 03:48:34,871448794499620868,Palpatine’s Crappy Clone,1315499574946136064,RT @MrsRabbitResist: Trump supporters threatening to leave America if Biden wins is probably the best thing I’ve heard all year. If any of…
6,2020-10-12 03:48:33,2364145870,JB Smith,1315499574082011136,@FernandoAmandi Castro-Chavistas overwhelmingly support Biden. Those who fled Castro-Chavistas overwhelmingly suppo… https://t.co/I9hYO1XLhW
7,2020-10-12 03:48:33,237803067,"VOTE NOVEMBER 3, 2020",1315499573574500352,"RT @Politics_Polls: GEORGIA
Biden 47% (+1)
Trump 46%
.
#GAsen:
Ossoff (D) 44% (+1)
Perdue (R-inc) 43%
Hazel (L) 4%
.
#GAsen Special:
Warnoc…"
8,2020-10-12 03:48:33,1046555609942896640,ayana_unwala,1315499571792015361,"RT @HelenKennedy: Joe Biden’s most recent endorsements: Cindy McCain, Scientific American, Greta Thunberg, the New England Journal of Medic…"
9,2020-10-12 03:48:32,829383893555912704,Rack Anne Ruin,1315499570189619200,"RT @acnewsitics: Hunter Biden was Chairman of the World Food Program,... which just won the Nobel Peace Prize.

Eric Trump, Donald J Trump…"
10,2020-10-12 03:48:32,33474695,WendowsLane,1315499568897892354,RT @Blue_Texas2020: Early voting begins in Texas in just 36 hours. My crystal balls says George Bush will endorse Biden within those 36 hou…
11,2020-10-12 03:48:32,2852249984,"Dr. Wylie Rogers, MD",1315499568352702464,"@BlackElleWoods As a man of color, trump can literally GFH. Biden/Harris 2020 https://t.co/1Cmu0JCrmp"
12,2020-10-12 03:48:31,48794154,Thomas Paine,1315499565437444098,"RT @BenjaminCook: The #Vikings had more than a 95% win probability tonight before losing to the #Seahawks . 

Most models put a VP Biden wi…"
13,2020-10-12 03:48:31,1362703062,Mark Rathjen,1315499563390623744,RT @djrothkopf: It's happening again. It's just as bad. There are even more Republicans working to enable the Russians to help Trump this t…
14,2020-10-12 03:48:31,861896869,J.J,1315499562740535297,"RT @proxcee: If Biden is up in the polls and is supposed to beat Trump by a landslide...

They're gonna have to prove it to me on election…"
15,2020-10-12 03:48:30,248725465,Melissa,1315499561335562240,"RT @HelenKennedy: Joe Biden’s most recent endorsements: Cindy McCain, Scientific American, Greta Thunberg, the New England Journal of Medic…"
16,2020-10-12 03:48:30,1217028908,Julie,1315499559636799491,"RT @SethAbramson: Actually, Trump publicly colluded with China and we all saw it on TV and then Bolton wrote about Trump colluding with Chi…"
17,2020-10-12 03:48:30,508170925,Jorge,1315499559565643776,"RT @WalshFreedom: I’m much, much, much more bothered by Trump’s undermining the legitimacy of our elections and his refusal to say he’ll ac…"
18,2020-10-12 03:48:30,626612323,david s,1315499558646939650,"RT @nowthisnews: Biden on Trump: ‘America deserves a president who understands what the American people are going through, who sees who you…"
